NAME,PROV,ARA,RHA,GAL,GLU,XYL,MAN,INS_LIG,SOL_LIG,TOT_LIG,HOLO,A_CELL,HEMICELL,FIB_LNGTH,MFA ,MFA_YR1,DENS,CRYST,S2G,PHB
HOMC-21-3 ,HOMC,0.635254627,0.864332785,0.644897257,55.9129373,19.69641148,2.615775268,16.80458307,2.395694694,19.20027776,64.51612903,38.69171642,25.82441261,0.944,20.72,20.24,385.81,48.78,69.14,1.372002262
HOMC-21-4 ,HOMC,0.558984292,0.788274738,0.702495503,51.55508724,18.86099955,2.874616038,19.32335719,2.823475484,22.14683267,72.75747508,43.45012842,29.30734666,0.977,17.37,18.68,370.03,47.85,74.31,0.640970441
HOMC-21-5,HOMC,0.67383925,0.868231479,0.784527431,53.15985167,19.50572944,3.316977079,17.87994891,3.258533612,21.13848253,68.69446343,40.89770311,27.79676032,1.033,17.73,18.2,402.25,51.02,75.44,0.861224913
HOMD-21-1 ,HOMD,0.746488295,0.695487219,0.600256122,48.54324811,20.05462881,3.192363287,18.38407494,2.865818608,21.24989355,67.29765013,38.32409668,28.97355345,0.557,15.69,16.77,438.8,51.81,74.38,1.447088716
HOMD-21-2 ,HOMD,0.728265447,0.542170517,0.765339883,56.23556373,19.19314492,3.017008751,18.19363223,2.523628094,20.71726032,66.40053227,37.40730125,28.99323101,0.945,18.2,19.76,386.06,45.66,73.69,2.320696186
HOMD-21-3 ,HOMD,0.700388598,0.831143501,0.539644149,49.73175491,20.9195624,4.601546751,20.3003003,2.527927928,22.82822823,68.3046683,39.58455961,28.72010869,0.829,17.25,18.56,444.23,47.39,70.62,1.20942777
HOMD-21-4 ,HOMD,0.726782419,0.54592564,0.603774214,55.73888008,19.83582919,3.598514215,17.38586617,3.00886918,20.39473535,68.39654025,40.06546535,28.33107491,0.748,15.33,20.24,462.06,45.66,74.3,1.558613141
HOMD-21-5 ,HOMD,0.756267375,0.683884249,0.611734072,52.60153559,19.55881341,3.163861841,21.26984127,2.5197114,23.78955267,67.1957672,40.07740738,27.11835982,0.918,15.93,16.05,404.52,48.08,70.71,1.644682143
HOPF-27-1 ,HOPF,0.740789204,0.801347255,0.609109983,53.20295434,19.14210825,3.000167325,17.39397664,2.793876069,20.18785271,69.91920447,42.35560389,27.56360059,1.055,15.81,15.93,419.03,48.54,74.4,1.141001866
HOPF-27-2 ,HOPF,0.733532613,1.180772542,0.74243474,53.00473966,20.33360391,3.468164821,18.93603547,2.511342046,21.44737751,71.10817942,43.60671138,27.50146803,0.87,18.68,20.36,373.29,46.95,73.12,0.823696774
HOPF-27-3 ,HOPF,0.854605839,1.080006213,0.975063276,54.61537927,20.48472319,3.006776124,17.67741935,2.374868035,20.05228739,69.88031915,43.43147657,26.44884258,0.89,17.96,20.36,412.34,49.26,72.08,1.167211746
HOPF-27-4 ,HOPF,0.740020151,1.122858672,0.652514266,55.57566388,19.23713514,3.146421953,17.73236651,2.472703302,20.20506981,71.85534591,43.70858177,28.14676414,0.976,16.17,17.01,399,45.05,72.98,1.864608455
HOPF-27-5 ,HOPF,0.57571187,0.756619885,0.585582118,49.85850553,21.71138193,3.356861026,18.65626875,2.940693679,21.59696243,70.30508475,39.50227005,30.8028147,,,,449.98,,78.86,0.518170884
HOPG-27-1,HOPG,0.693829477,0.712545182,0.667350297,53.12032556,20.52938472,3.264799155,20.64010451,2.096371949,22.73647646,68.84315117,39.47487493,29.36827624,0.799,17.37,18.2,429.78,51.55,69.3,1.259206232
HOPG-27-2,HOPG,0.736233063,0.855635654,0.872128752,51.07371925,19.55129028,3.413649987,19.15962525,2.279461214,21.43908647,67.29088639,39.05963791,28.23124848,1.079,18.0847125,17.72535,415.19,50.53727762,70.68282769,
HOPG-27-5 ,HOPG,0.802592534,0.848200377,0.751797671,54.16701192,20.08091097,3.701727252,17.7661659,2.610563506,20.37672941,66.39004149,38.65438642,27.73565507,0.967,17.96,21.8,432.23,47.39,74.2,2.122544398
